mode,phase,run,case,sha,binary_sha256,frames,setup_ms,p50_ms,p95_ms,p99_ms,max_ms,over_33,over_100,longest_over_33,setup_records,setup_proxies,setup_tracked_identities,setup_stress_mode,records_first,records_last,records_minimum,records_maximum,proxies_first,proxies_last,proxies_minimum,proxies_maximum,caps_first,caps_last,caps_minimum,caps_maximum,textures_first,textures_last,textures_minimum,textures_maximum,mids_first,mids_last,mids_minimum,mids_maximum,fine_bytes_first,fine_bytes_last,fine_bytes_minimum,fine_bytes_maximum,working_set_first,working_set_last,working_set_minimum,working_set_maximum,uobjects_first,uobjects_last,uobjects_minimum,uobjects_maximum,rhi_texture_bytes_first,rhi_texture_bytes_last,rhi_texture_bytes_maximum,engine_game_ms_p50_ms,engine_game_ms_p95_ms,engine_game_ms_p99_ms,engine_game_ms_max_ms,engine_render_ms_p50_ms,engine_render_ms_p95_ms,engine_render_ms_p99_ms,engine_render_ms_max_ms,engine_rhi_ms_p50_ms,engine_rhi_ms_p95_ms,engine_rhi_ms_p99_ms,engine_rhi_ms_max_ms,engine_gpu_ms_p50_ms,engine_gpu_ms_p95_ms,engine_gpu_ms_p99_ms,engine_gpu_ms_max_ms,engine_game_wait_ms_p50_ms,engine_game_wait_ms_p95_ms,engine_game_wait_ms_p99_ms,engine_game_wait_ms_max_ms,engine_render_wait_ms_p50_ms,engine_render_wait_ms_p95_ms,engine_render_wait_ms_p99_ms,engine_render_wait_ms_max_ms,engine_present_ms_p50_ms,engine_present_ms_p95_ms,engine_present_ms_p99_ms,engine_present_ms_max_ms,gray_stage_current_reveal_us_p50_us,gray_stage_current_reveal_us_p95_us,gray_stage_current_reveal_us_p99_us,gray_stage_current_reveal_us_max_us,gray_stage_historical_us_p50_us,gray_stage_historical_us_p95_us,gray_stage_historical_us_p99_us,gray_stage_historical_us_max_us,gray_stage_coverage_us_p50_us,gray_stage_coverage_us_p95_us,gray_stage_coverage_us_p99_us,gray_stage_coverage_us_max_us,gray_stage_occupancy_us_p50_us,gray_stage_occupancy_us_p95_us,gray_stage_occupancy_us_p99_us,gray_stage_occupancy_us_max_us,gray_stage_ownership_us_p50_us,gray_stage_ownership_us_p95_us,gray_stage_ownership_us_p99_us,gray_stage_ownership_us_max_us,gray_stage_texture_us_p50_us,gray_stage_texture_us_p95_us,gray_stage_texture_us_p99_us,gray_stage_texture_us_max_us,gray_stage_cap_us_p50_us,gray_stage_cap_us_p95_us,gray_stage_cap_us_p99_us,gray_stage_cap_us_max_us,gray_stage_refresh_us_p50_us,gray_stage_refresh_us_p95_us,gray_stage_refresh_us_p99_us,gray_stage_refresh_us_max_us,gray_memory_p95_ms
PIE,before,Before_PIE_01,StationaryStop,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,8.580900000197289,20.19269999982498,21.96399999957066,31.946300000527117,34.4228000003568,2,0,1,1,1,7,0,2,2,2,2,2,2,2,2,1,1,1,1,6,6,6,6,4,4,4,4,3809280,5062656,3809280,5062656,4549931008,4568748032,4549931008,4568748032,68751,68751,68751,68751,3581583360,3581583360,3581583360,8.232,10.8801,15.3324,34.2498,0.0002,0.0004,0.0054,0.0073,0.1611,0.2718,0.3381,0.4769,16.1261,16.9498,27.0278,30.8954,11.8432,13.0511,16.7561,24.9303,0.0061,0.008,0.0101,0.0239,0.0061,0.008,0.0101,0.0239,58.8,80.2,128.9,14911.6,13.1,1659.5,2811.5,3039.2,12.3,15.6,195.8,201.8,4.1,1259.2,2015.8,2203.9,0.7,205.6,371.1,401.3,0.0,0.0,0.0,703.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0161
PIE,before,Before_PIE_01,LongRepeatDistributed,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,1800,1090.8841000000393,31.046099999002763,33.421300000554766,34.49260000161303,3626.3067999998384,180,1,5,186,186,10,6,122,122,122,122,122,122,122,122,121,121,121,121,126,126,126,126,364,364,364,364,46220288,46220288,46220288,46220288,4658548736,4643717120,4634902528,4661329920,71465,71465,71465,71465,3604963328,3549569024,3604963328,13.5398,15.1111,16.2819,3555.4084,0.0002,0.0004,0.0006,0.0077,0.1819,3.8293,4.053,4.4217,26.0884,27.1593,27.5756,75.1943,17.5563,19.6466,20.2428,49.3105,0.0063,0.0083,0.0101,0.0154,0.0063,0.0083,0.0101,0.0154,120.9,159.5,184.5,331.0,0.3,0.6,0.8,2411982.6,71.1,88.5,123.5,6400.5,0.0,0.0,0.0,79506.9,0.0,0.0,0.0,1976720.0,0.0,0.0,0.0,22988.4,0.0,0.0,0.0,275559.1,0.0,0.0,0.0,0.0,0.2365
PIE,before,Before_PIE_01,ActualNewKnowledge,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,28.95830000124988,20.264299999325885,32.276800000545336,46.81890000028943,55.46710000089661,12,0,1,1,1,7,0,2,7,2,7,2,7,2,7,1,1,1,1,6,11,6,11,4,19,4,19,3809280,11329536,3809280,11329536,4641566720,4650860544,4641566720,4650864640,71465,71465,71465,71465,3549974528,3551940608,3551940608,8.4197,15.1481,34.1653,56.0253,0.0002,0.0004,0.0062,0.0067,0.1657,0.3191,3.8021,4.6025,16.0765,26.6874,28.215,28.9233,11.7638,18.2014,24.1483,25.3013,0.0062,0.0087,0.0127,0.0209,0.0062,0.0087,0.0127,0.0209,68.0,233.2,14725.1,15326.2,74.3,1483.0,5482.7,6238.5,0.0,222.9,806.8,1185.6,1.3,1229.0,4213.6,4960.9,0.9,6.8,394.5,409.5,0.0,0.0,693.7,817.4,0.0,0.2,0.5,0.7,0.0,0.0,0.0,0.0,3.3489
PIE,before,Before_PIE_02,Empty,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,240,0.12239999887242448,30.89429999999993,33.082800000556745,33.75980000055279,122.4210000000312,13,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4335063040,4342714368,4335063040,4351692800,62829,62829,62829,62829,3524317184,3524620288,3524710400,12.9931,14.7766,16.1334,120.5257,0.0002,0.0005,0.0063,0.0076,0.1649,3.916,4.1658,4.3791,25.9991,26.8889,27.664,28.7989,17.8835,19.5986,20.3233,20.3924,0.0061,0.0081,0.0115,0.0284,0.0061,0.0081,0.0115,0.0284,122.3,168.2,200.8,255.3,0.3,0.5,0.6,0.6,71.9,113.3,138.0,145.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2288
PIE,before,Before_PIE_02,OneWhole,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,300,2.225799998996081,31.087299999853713,34.00359999977809,47.86179999973683,70.51180000053137,29,0,2,0,0,8,1,1,1,1,2,1,1,1,1,0,0,0,0,4,7,4,7,3,3,3,3,0,235520,0,235520,4343304192,4351107072,4343304192,4363005952,62829,62829,62829,62829,3524620288,3524898816,3524898816,13.3187,15.6704,24.1336,41.1848,0.0002,0.0004,0.0008,0.0067,0.1665,3.9345,4.1666,4.2654,26.1479,27.3709,27.9266,29.8072,17.6743,19.8595,21.3538,48.8008,0.0064,0.0092,0.0121,0.013,0.0064,0.0092,0.0121,0.013,144.1,244.2,744.9,12205.6,50.2,98.0,288.0,4025.1,96.2,161.2,171.0,349.6,0.4,3.1,57.3,386.7,0.4,0.8,72.8,1829.6,0.0,100.6,122.5,166.6,0.1,0.2,0.4,2.6,0.0,0.0,0.0,0.0,0.4457
PIE,before,Before_PIE_02,EightWhole,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,300,13.664699999935692,31.133399999816902,35.014000000956,40.43459999957122,41.95129999970959,51,0,2,0,0,15,2,8,8,8,9,8,8,8,8,0,0,0,0,32,44,32,44,24,24,24,24,0,1884160,0,1884160,4351291392,4354605056,4351291392,4354752512,62829,62829,62829,62829,3524898816,3526324224,3526324224,14.004,19.8422,23.4663,38.2633,0.0002,0.0004,0.0006,0.0059,0.1663,3.7581,4.2043,4.4492,26.204,27.2846,27.6196,27.9376,16.997,19.4086,19.9657,20.523,0.0062,0.008,0.0109,0.0345,0.0062,0.008,0.0109,0.0345,248.7,820.9,5770.7,8875.7,356.4,4468.0,8900.7,9364.9,271.0,461.0,777.0,886.9,2.0,63.1,731.3,1106.3,0.8,344.5,1687.6,1715.5,0.0,324.2,402.1,469.1,0.2,0.6,0.9,1.1,0.0,0.0,0.0,0.0,7.4171000000000005
PIE,before,Before_PIE_02,ThirtyTwoWhole,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,56.95200000081968,31.42669999942882,40.244499999971595,53.35460000060266,117.139899999529,97,1,4,0,0,39,3,31,27,27,33,27,27,27,27,0,0,0,0,120,153,120,153,81,81,81,81,0,6359040,0,6359040,4355555328,4373573632,4355555328,4373573632,64252,64318,64252,64318,3529228288,3531436032,3531436032,16.6043,27.3383,50.9173,116.538,0.0002,0.0004,0.0006,0.0048,0.1564,0.2432,0.2712,0.3164,26.3363,27.4137,27.8131,28.7849,14.0295,17.3192,18.0018,18.7486,0.0062,0.0087,0.0105,0.0128,0.0062,0.0087,0.0105,0.0128,1280.2,2911.1,6674.2,39749.3,1218.6,9387.8,16021.9,27993.2,777.7,1386.0,2000.0,2574.1,4.9,209.7,277.6,5194.0,1.8,1514.4,2429.1,4203.9,0.0,1221.8,1345.7,1885.2,0.4,1.5,1.7,3.3,0.0,0.0,0.0,0.0,13.824
PIE,before,Before_PIE_02,PartialNewThenRepeat,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,23.21970000048168,20.10599999994156,32.25810000003548,45.68749999998545,50.404099998559104,15,0,1,0,0,7,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,3809280,0,3809280,4391464960,4405510144,4383330304,4405510144,64376,64376,64376,64376,3540742144,3540742144,3540742144,10.7942,17.5999,36.6087,49.6634,0.0002,0.0004,0.0057,0.0065,0.1574,3.7273,4.1684,4.234,16.1396,26.2525,28.1591,33.8443,10.5844,18.1318,23.5877,24.5903,0.0062,0.0078,0.0104,0.0477,0.0062,0.0078,0.0104,0.0477,78.9,5323.6,14118.3,18755.4,64.8,87.9,4886.5,11998.0,0.0,190.8,460.8,528.5,0.7,1.2,8.3,5428.3,0.4,0.8,0.9,1241.8,0.0,0.0,1988.5,2273.6,0.0,466.0,11786.2,12250.1,0.0,0.0,0.0,0.0,5.3849
PIE,before,Before_PIE_02,Overlap64,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,348.40299999996205,30.883499999617925,33.571599999049795,34.425399999236106,787.8375000000233,28,1,1,65,65,15,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3809280,3809280,3809280,3809280,4412129280,4412080128,4411756544,4417409024,65768,65768,65768,65768,3548606464,3548606464,3548606464,13.3218,15.0965,16.3391,777.5507,0.0002,0.0004,0.0058,0.0062,0.1598,3.7989,4.0235,4.2852,26.0434,27.2327,27.7704,29.6543,17.5314,19.7898,20.3377,20.6855,0.0063,0.0086,0.0105,0.0287,0.0063,0.0086,0.0105,0.0287,122.6,156.7,172.3,223.9,0.5,0.8,1.0,374749.4,72.3,91.4,104.8,1908.9,0.0,0.0,0.0,10130.7,0.0,0.0,0.0,304691.9,0.0,0.0,0.0,7607.5,0.0,0.0,0.0,23463.9,0.0,0.0,0.0,0.0,0.24080000000000001
PIE,before,Before_PIE_02,SameIdentity64,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,388.4392999989359,30.794399999649613,33.26629999901343,33.95769999951881,1315.0456000003032,25,1,2,65,65,8,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3809280,3809280,3809280,3809280,4428013568,4429303808,4428013568,4429303808,66822,66822,66822,66822,3556749312,3556749312,3556749312,13.1692,14.8739,15.8657,1277.3995,0.0002,0.0004,0.0062,0.0077,0.179,3.9165,4.1922,4.3262,25.9082,27.0767,28.2419,30.3527,17.6882,19.6622,20.3839,26.9435,0.0063,0.0081,0.0098,0.011,0.0063,0.0081,0.0098,0.011,122.4,156.4,215.4,352.4,0.3,0.5,0.7,866709.7,72.0,88.7,118.3,2121.5,0.0,0.0,0.0,11249.5,0.0,0.0,0.0,712224.6,0.0,0.0,0.0,8500.6,0.0,0.0,0.0,98135.8,0.0,0.0,0.0,0.0,0.22080000000000002
PIE,before,Before_PIE_02,Distributed184,194a0dbddacf9c5ea5d6b19f66773c2effb984c0,6668FAD744D2B2F3B6829FF1B1668354641A799BAF6EE697FD65D8DE3C4B386F,360,1085.5379999993602,31.021600001622573,34.06369999902381,37.62360000109766,3641.627299999527,47,1,2,185,185,10,6,121,121,121,121,121,121,121,121,121,121,121,121,122,122,122,122,361,361,361,361,44966912,44966912,44966912,44966912,4574748672,4559306752,4559269888,4576096256,69744,69744,69744,69744,3580129280,3549163520,3580129280,13.5008,15.1949,16.534,3581.0154,0.0002,0.0004,0.0007,0.0066,0.1871,3.8808,4.1274,4.297,26.1153,27.3138,36.7584,70.9099,17.5981,19.9773,20.5491,38.34,0.0062,0.0076,0.0097,0.0104,0.0062,0.0076,0.0097,0.0104,123.1,160.5,183.6,204.0,0.3,0.7,0.9,2432502.4,72.0,97.6,125.6,6491.1,0.0,0.0,0.0,87736.0,0.0,0.0,0.0,1988479.9,0.0,0.0,0.0,23426.6,0.0,0.0,0.0,275505.0,0.0,0.0,0.0,0.0,0.2377
